1,stone
1:1,granite
1:2,granite_polished
1:3,diorite
1:4,diorite_polished
1:5,andesite
1:6,andesite_polished
2,grass
3,dirt
3:1,dirt_coarse
3:2,dirt_podzol
4,cobblestone
5,planks_oak
5:1,planks_oak
5:2,planks_oak
5:3,planks_oak
5:4,planks_oak
5:5,planks_oak
7,bedrock
8,water
9,water
10,lava
11,lava
12,sand
12:1,sand_red
13,gravel
14,gold_ore
15,iron_ore
16,coal_ore
17,wood_oak
17:1,wood_oak
17:2,wood_oak
17:3,wood_oak
18,leaves_oak
18:1,leaves_oak
18:2,leaves_oak
18:3,leaves_oak
19,sponge
19:1,sponge_wet
20,glass
21,lapis_ore
22,lapis_block
24,sandstone
24:1,sandstone_chiseled
24:2,sandstone_smooth
35,wool_white
35:1,wool_orange
35:2,wool_magenta
35:3,wool_light_blue
35:4,wool_yellow
35:5,wool_lime
35:6,wool_pink
35:7,wool_gray
35:8,wool_light_gray
35:9,wool_cyan
35:10,wool_purple
35:11,wool_blue
35:12,wool_brown
35:13,wool_green
35:14,wool_red
35:15,wool_black
41,gold_block
42,iron_block
43,double_stone_slab
43:1,sandstone
43:2,planks_oak
43:3,cobblestone
43:4,bricks
43:5,stonebrick
43:7,quartz_block
45,bricks
47,bookshelf
48,mossy_cobblestone
49,obsidian
53,planks_oak
54,chest
56,diamond_ore
57,diamond_block
58,crafting_table
60,farmland
61,furnace
62,furnace
67,cobblestone
73,redstone_ore
74,redstone_ore
78,snow_layer
79,ice
80,snow
81,cactus
82,clay
85,planks_oak
86,pumpkin
87,netherrack
88,soul_sand
89,glowstone
90,nether_portal
95,stained_glass_white
95:1,stained_glass_orange
95:2,stained_glass_magenta
95:3,stained_glass_light_blue
95:4,stained_glass_yellow
95:5,stained_glass_lime
95:6,stained_glass_pink
95:7,stained_glass_gray
95:8,stained_glass_light_gray
95:9,stained_glass_cyan
95:10,stained_glass_purple
95:11,stained_glass_blue
95:12,stained_glass_brown
95:13,stained_glass_green
95:14,stained_glass_red
95:15,stained_glass_black
98,stonebrick
98:1,stonebrick
98:2,stonebrick
98:3,stonebrick
102,glass
106,vines
109,stonebrick
110,mycelium
112,nether_brick
121,end_stone
123,redstone_lamp
124,redstone_lamp
125,planks_oak
125:1,planks_oak
125:2,planks_oak
125:3,planks_oak
125:4,planks_oak
125:5,planks_oak
133,emerald_block
134,planks_oak
135,planks_oak
136,planks_oak
137,quartz_block
139,cobblestone
139:1,mossy_cobblestone
152,redstone_block
153,nether_quartz_ore
155,quartz_block
155:1,quartz_block
155:2,quartz_block
159,hardened_clay_white
159:1,hardened_clay_orange
159:2,hardened_clay_magenta
159:3,hardened_clay_light_blue
159:4,hardened_clay_yellow
159:5,hardened_clay_lime
159:6,hardened_clay_pink
159:7,hardened_clay_gray
159:8,hardened_clay_silver
159:9,hardened_clay_cyan
159:10,hardened_clay_purple
159:11,hardened_clay_blue
159:12,hardened_clay_brown
159:13,hardened_clay_green
159:14,hardened_clay_red
159:15,hardened_clay_black
161,leaves_oak
161:1,leaves_oak
162,wood_oak
162:1,wood_oak
163,planks_oak
164,planks_oak
168,prismarine
168:1,prismarine_bricks
168:2,prismarine_dark
172,hardened_clay
188,planks_oak
189,planks_oak
190,planks_oak
191,planks_oak
192,planks_oak
201,purpur_block
202,purpur_pillar
203,purpur_stairs
204,purpur_block
205,purpur_slab
206,end_bricks
208,grass_path
212,frosted_ice
213,magma
214,nether_wart_block
215,red_nether_brick

